gene_id,symbol,baseline_1,baseline_2,baseline_3,DE.BSA.DMSO.day5_2,DE.BSA.DMSO.day5_3,DE.FFA.LPS.day5_1,DE.FFA.LPS.day5_2,DE.FFA.LPS.day5_3,DE.TMC.day5_1,DE.TMC.day5_2,DE.TMC.day5_3
ENSG00000248155,WI2-89927D4.1,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,0.279975,-4.6166,-0.490349,-4.29865,-4.74855
ENSG00000274584,RP11-819M15.2,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-4.7148,-4.6166,-4.72034,-4.29865,-4.74855
ENSG00000228826,RP11-344P13.4,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-0.727078,-4.6166,-0.665645,-0.203773,-0.799714
ENSG00000278847,RP11-414C23.1,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-4.7148,-4.6166,-4.72034,-4.29865,-0.356121
ENSG00000272389,CTC-487M23.7,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-4.7148,-0.865132,-4.72034,-4.29865,-4.74855
ENSG00000254539,RP4-791M13.3,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-0.878717,-2.15432,-4.72034,-0.974279,-4.74855
ENSG00000243779,RP11-681N23.1,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-1.58304,-4.6166,-0.751484,-4.29865,-0.117657
ENSG00000233870,AC007881.4,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,1.20648,0.34843,1.30421,-4.72034,0.791652,2.35808
ENSG00000253227,RP11-383J24.1,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-0.933962,0.446022,-0.221643,-1.12585,-1.02857
ENSG00000271324,RP11-10C24.2,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,0.0464305,-1.56131,0.285481,-4.72034,-4.29865,-0.453825
ENSG00000267699,RP11-729L2.2,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-0.605346,-2.02961,-0.467485,-0.679374,-4.29865,-0.918686
ENSG00000272854,RP4-593H12.1,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-4.7148,-1.49119,-4.72034,-4.29865,-4.74855
ENSG00000267119,RPL10P15,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,0.0831721,-4.7148,-0.598556,-4.72034,0.565364,-0.0471557
ENSG00000224594,RPL29P19,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-0.672334,-1.30089,0.122612,-4.29865,-4.74855
ENSG00000267082,CTC-510F12.2,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-4.7148,-0.878683,-4.72034,-4.29865,-4.74855
ENSG00000273597,RP11-392A14.9,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-4.7148,-2.13671,-0.236275,-4.29865,-0.823677
ENSG00000224011,AC111155.1,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-0.722792,-0.711029,-4.6166,-0.750958,1.24829,-0.876843
ENSG00000258904,RP11-638I2.2,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-0.892919,-1.55175,-1.63854,-4.29865,-4.74855
ENSG00000279361,RP11-360N9.3,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-2.58303,-4.6166,-4.72034,-1.33492,-4.74855
ENSG00000213791,RP11-941H19.2,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-1.00897,-1.09401,-4.6166,-1.82086,-4.29865,-1.86593
ENSG00000225107,AC092484.1,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-4.7148,0.442556,-4.72034,-4.29865,-4.74855
ENSG00000227581,RP13-140E4.1,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-4.7148,-4.6166,-4.72034,-4.29865,-4.74855
ENSG00000233942,AC004012.1,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-4.7148,-1.54759,-4.72034,0.106273,-1.76694
ENSG00000276523,RP11-490B18.6,0.49607414,0.49607414,0.49607414,-0.627376086,-0.627376086,-4.61901,-4.7148,-4.6166,-4.72034,-4.29865,-1.61809
