gene_id,symbol,baseline_1,baseline_2,baseline_3,DE.BSA.DMSO.day5_2,DE.BSA.DMSO.day5_3,DE.FFA.LPS.day5_1,DE.FFA.LPS.day5_2,DE.FFA.LPS.day5_3,DE.TMC.day5_1,DE.TMC.day5_3
ENSG00000241362,RPL36AP43,0.49607414,0.49607414,0.49607414,0.142103,0.14641500000000002,0.576008,-4.7148,-0.620935,-0.658037,-0.8372700000000001
ENSG00000260571,BNIP3P5,0.49607414,0.49607414,0.49607414,0.3562,0.17086700000000002,-4.61901,-0.799552,-1.21411,-4.72034,-4.74855
ENSG00000205693,MANSC4,0.49607414,0.49607414,0.49607414,0.7858149999999999,0.555146,-1.17718,-0.810972,-1.24071,-2.45895,-2.53389
ENSG00000239775,AC017116.11,0.49607414,0.49607414,0.49607414,0.884659,1.11725,1.06338,1.27863,0.920766,0.9390430000000001,1.02483
ENSG00000259444,RP11-736N17.8,0.49607414,0.49607414,0.49607414,0.12755,0.49353100000000005,0.46284899999999995,-1.11355,-0.270737,-4.72034,-1.22999
ENSG00000235272,FAM103A2P,0.49607414,0.49607414,0.49607414,1.24349,0.804326,-0.665542,0.676901,0.52288,-0.8268629999999999,-0.135872
ENSG00000263432,RN7SL689P,0.49607414,0.49607414,0.49607414,0.186249,1.2173100000000001,0.6635979999999999,-0.602122,-0.523516,0.641314,0.489277
ENSG00000260418,RP3-406A7.7,0.49607414,0.49607414,0.49607414,1.07988,0.766876,-0.17965699999999998,0.43273500000000004,-0.9936790000000001,-0.27387100000000003,0.750238
ENSG00000220323,HIST2H2BD,0.49607414,0.49607414,0.49607414,0.8522139999999999,0.900317,0.775864,-0.025707999999999998,1.1759700000000002,1.49374,-2.78532
ENSG00000248709,CTC-505O3.2,0.49607414,0.49607414,0.49607414,0.913409,0.6265310000000001,-1.02865,-4.7148,-4.6166,-4.72034,-4.74855
ENSG00000231702,RP11-54O7.10,0.49607414,0.49607414,0.49607414,1.54859,2.02225,2.00044,-4.7148,0.8090970000000001,2.32512,-4.74855
ENSG00000256553,TRAV1-2,0.49607414,0.49607414,0.49607414,0.791136,0.124635,0.397512,0.299129,-1.13632,-4.72034,-0.5311279999999999
ENSG00000258732,RP11-603B24.1,0.49607414,0.49607414,0.49607414,1.18582,1.1038,0.20648899999999998,-1.07917,-0.990506,0.42916499999999996,-0.41287299999999993
ENSG00000254719,RP11-351I24.3,0.49607414,0.49607414,0.49607414,0.109483,0.954319,0.158583,-4.7148,-4.6166,0.202486,-4.74855
ENSG00000256590,TRDV3,0.49607414,0.49607414,0.49607414,0.49985799999999997,0.00576785,-4.61901,-4.7148,-1.14899,-4.72034,-4.74855
ENSG00000237854,LINC00674,0.49607414,0.49607414,0.49607414,0.919026,1.02839,0.806397,0.433411,0.16384100000000001,1.2961200000000002,1.5555
ENSG00000230397,SPTLC1P1,0.49607414,0.49607414,0.49607414,0.885026,0.516584,0.457726,-4.7148,-4.6166,0.42435200000000006,-0.45723400000000003
ENSG00000259760,RP11-20G13.2,1.03738,2.4123,2.7691,1.4558799999999998,0.238583,1.02444,1.97205,1.8609099999999998,-4.72034,1.59615
ENSG00000255689,RP11-136I14.5,0.49607414,0.49607414,0.49607414,0.196143,0.24090599999999998,-4.61901,-4.7148,-4.6166,-4.72034,-4.74855
ENSG00000235576,AC092580.4,0.49607414,0.49607414,0.49607414,0.597841,1.81381,-0.101603,1.88963,1.6208200000000001,-0.16655899999999998,0.40910599999999997
ENSG00000157368,IL34,0.49607414,0.49607414,0.49607414,1.46056,1.3041200000000002,0.655936,1.37039,1.0717,1.15695,1.35873
ENSG00000235077,AC073842.19,0.49607414,0.49607414,0.49607414,0.887257,0.704418,-0.0464107,-0.9275209999999999,-0.782876,2.426,2.59535
